gamma_s,gamma_h,sensitivity,ppv,fmeasure
0.03125,0.125,0.0,NaN,NaN
0.03125,0.0625,0.0,NaN,NaN
0.03125,0.25,0.0,NaN,NaN
0.03125,0.03125,0.0,NaN,NaN
0.03125,0.5,0.0,NaN,NaN
0.03125,2.0,0.21666666666666667,1.0,0.3561643835616438
0.03125,4.0,0.26666666666666666,0.6956521739130435,0.3855421686746988
0.03125,1.0,0.0,NaN,NaN
0.03125,8.0,0.26666666666666666,0.4,0.32
0.03125,16.0,0.26666666666666666,0.32653061224489793,0.29357798165137616
0.03125,32.0,0.26666666666666666,0.2909090909090909,0.2782608695652174
0.03125,64.0,0.26666666666666666,0.2857142857142857,0.2758620689655172
0.03125,128.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.03125,256.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.03125,512.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.0625,0.03125,0.0,NaN,NaN
0.03125,1024.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.0625,0.0625,0.0,NaN,NaN
0.0625,0.125,0.0,NaN,NaN
0.0625,0.25,0.0,NaN,NaN
0.0625,0.5,0.0,NaN,NaN
0.0625,1.0,0.0,NaN,NaN
0.0625,2.0,0.21666666666666667,1.0,0.3561643835616438
0.0625,4.0,0.26666666666666666,0.6956521739130435,0.3855421686746988
0.0625,8.0,0.26666666666666666,0.4,0.32
0.0625,16.0,0.26666666666666666,0.32653061224489793,0.29357798165137616
0.0625,128.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.0625,256.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.0625,32.0,0.26666666666666666,0.2909090909090909,0.2782608695652174
0.0625,64.0,0.26666666666666666,0.2857142857142857,0.2758620689655172
0.0625,512.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.0625,1024.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.125,0.03125,0.05,1.0,0.09523809523809523
0.125,0.125,0.05,1.0,0.09523809523809523
0.125,0.0625,0.05,1.0,0.09523809523809523
0.125,0.25,0.05,1.0,0.09523809523809523
0.125,0.5,0.05,1.0,0.09523809523809523
0.125,1.0,0.05,1.0,0.09523809523809523
0.125,2.0,0.26666666666666666,1.0,0.4210526315789474
0.125,4.0,0.31666666666666665,0.9047619047619048,0.4691358024691357
0.125,8.0,0.31666666666666665,0.5,0.3877551020408163
0.125,16.0,0.31666666666666665,0.40425531914893614,0.35514018691588783
0.125,32.0,0.31666666666666665,0.3584905660377358,0.336283185840708
0.125,64.0,0.26666666666666666,0.2857142857142857,0.2758620689655172
0.125,128.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.125,256.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.125,1024.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.25,0.03125,0.08333333333333333,1.0,0.15384615384615385
0.125,512.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.25,0.0625,0.08333333333333333,1.0,0.15384615384615385
0.25,0.125,0.08333333333333333,1.0,0.15384615384615385
0.25,0.25,0.08333333333333333,1.0,0.15384615384615385
0.25,1.0,0.08333333333333333,1.0,0.15384615384615385
0.25,0.5,0.08333333333333333,1.0,0.15384615384615385
0.25,2.0,0.3,1.0,0.4615384615384615
0.25,4.0,0.35,1.0,0.5185185185185185
0.25,16.0,0.35,0.45652173913043476,0.39622641509433965
0.25,8.0,0.35,0.5833333333333334,0.4375
0.25,32.0,0.35,0.40384615384615385,0.375
0.25,64.0,0.26666666666666666,0.2857142857142857,0.2758620689655172
0.25,128.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.25,256.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.25,512.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.25,1024.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.5,0.03125,0.1,0.8571428571428571,0.17910447761194032
0.5,0.0625,0.1,0.8571428571428571,0.17910447761194032
0.5,0.125,0.1,0.8571428571428571,0.17910447761194032
0.5,0.25,0.1,0.8571428571428571,0.17910447761194032
0.5,0.5,0.1,0.8571428571428571,0.17910447761194032
0.5,1.0,0.1,0.8571428571428571,0.17910447761194032
0.5,2.0,0.31666666666666665,0.95,0.4749999999999999
0.5,4.0,0.36666666666666664,0.9565217391304348,0.5301204819277108
0.5,8.0,0.36666666666666664,0.6285714285714286,0.46315789473684205
0.5,16.0,0.36666666666666664,0.5,0.423076923076923
0.5,32.0,0.31666666666666665,0.35185185185185186,0.33333333333333337
0.5,128.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.5,64.0,0.26666666666666666,0.2857142857142857,0.2758620689655172
0.5,256.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
0.5,512.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
1.0,0.03125,0.16666666666666666,0.5263157894736842,0.25316455696202533
0.5,1024.0,0.26666666666666666,0.2711864406779661,0.2689075630252101
1.0,0.0625,0.16666666666666666,0.5263157894736842,0.25316455696202533
1.0,0.125,0.16666666666666666,0.5263157894736842,0.25316455696202533
1.0,0.5,0.16666666666666666,0.5263157894736842,0.25316455696202533
1.0,1.0,0.16666666666666666,0.5263157894736842,0.25316455696202533
1.0,0.25,0.16666666666666666,0.5263157894736842,0.25316455696202533
1.0,2.0,0.35,0.7,0.4666666666666667
1.0,4.0,0.4,0.7272727272727273,0.5161290322580645
1.0,8.0,0.4,0.6486486486486487,0.49484536082474234
1.0,16.0,0.43333333333333335,0.5909090909090909,0.5
1.0,64.0,0.3,0.3103448275862069,0.3050847457627119
1.0,32.0,0.36666666666666664,0.38596491228070173,0.37606837606837606
1.0,128.0,0.3,0.29508196721311475,0.2975206611570248
1.0,256.0,0.3,0.29508196721311475,0.2975206611570248
1.0,512.0,0.3,0.29508196721311475,0.2975206611570248
1.0,1024.0,0.3,0.29508196721311475,0.2975206611570248
2.0,0.03125,0.3,0.6666666666666666,0.41379310344827586
2.0,0.0625,0.3,0.6666666666666666,0.41379310344827586
2.0,0.125,0.3,0.6666666666666666,0.41379310344827586
2.0,0.25,0.3,0.6666666666666666,0.41379310344827586
2.0,0.5,0.3,0.6666666666666666,0.41379310344827586
2.0,1.0,0.3,0.6666666666666666,0.41379310344827586
2.0,4.0,0.5333333333333333,0.7804878048780488,0.6336633663366336
2.0,2.0,0.48333333333333334,0.7631578947368421,0.5918367346938777
2.0,8.0,0.5666666666666667,0.723404255319149,0.6355140186915887
2.0,16.0,0.55,0.6111111111111112,0.5789473684210527
2.0,32.0,0.38333333333333336,0.3898305084745763,0.3865546218487395
2.0,64.0,0.3,0.3103448275862069,0.3050847457627119
2.0,128.0,0.3,0.29508196721311475,0.2975206611570248
2.0,256.0,0.3,0.29508196721311475,0.2975206611570248
2.0,512.0,0.3,0.29508196721311475,0.2975206611570248
2.0,1024.0,0.3,0.29508196721311475,0.2975206611570248
4.0,0.03125,0.5166666666666667,0.7045454545454546,0.5961538461538463
4.0,0.0625,0.5166666666666667,0.7045454545454546,0.5961538461538463
4.0,0.125,0.5166666666666667,0.7045454545454546,0.5961538461538463
4.0,0.25,0.5166666666666667,0.7045454545454546,0.5961538461538463
4.0,0.5,0.5166666666666667,0.7045454545454546,0.5961538461538463
4.0,1.0,0.5166666666666667,0.7045454545454546,0.5961538461538463
4.0,2.0,0.6833333333333333,0.7592592592592593,0.7192982456140351
4.0,8.0,0.75,0.7627118644067796,0.7563025210084034
4.0,4.0,0.75,0.7894736842105263,0.7692307692307692
4.0,16.0,0.48333333333333334,0.5,0.4915254237288135
4.0,32.0,0.31666666666666665,0.3220338983050847,0.31932773109243695
4.0,64.0,0.31666666666666665,0.31666666666666665,0.31666666666666665
4.0,128.0,0.3,0.29508196721311475,0.2975206611570248
4.0,512.0,0.3,0.29508196721311475,0.2975206611570248
4.0,256.0,0.3,0.29508196721311475,0.2975206611570248
4.0,1024.0,0.3,0.29508196721311475,0.2975206611570248
8.0,0.03125,0.5666666666666667,0.723404255319149,0.6355140186915887
8.0,0.0625,0.5666666666666667,0.723404255319149,0.6355140186915887
8.0,0.125,0.5666666666666667,0.723404255319149,0.6355140186915887
8.0,0.25,0.5666666666666667,0.723404255319149,0.6355140186915887
8.0,0.5,0.5666666666666667,0.723404255319149,0.6355140186915887
8.0,1.0,0.5666666666666667,0.723404255319149,0.6355140186915887
8.0,2.0,0.75,0.7894736842105263,0.7692307692307692
8.0,4.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
8.0,8.0,0.7166666666666667,0.7166666666666667,0.7166666666666667
