filepath,sensitivity,ppv,fmeasure
ibt-7-obt-3-hyb-0.04.fa,0.766666667,0.793103448,0.779661017
ibt-7-obt-3-hyb-0.02.fa,0.766666667,0.793103448,0.779661017
ibt-6-obt-3-hyb-0.fa,0.766666667,0.793103448,0.779661017
ibt-6-obt-3-hyb-0.1.fa,0.766666667,0.793103448,0.779661017
ibt-6-obt-3-hyb-0.08.fa,0.766666667,0.793103448,0.779661017
ibt-6-obt-3-hyb-0.06.fa,0.766666667,0.793103448,0.779661017
ibt-6-obt-3-hyb-0.04.fa,0.766666667,0.793103448,0.779661017
ibt-6-obt-3-hyb-0.02.fa,0.766666667,0.793103448,0.779661017
ibt-10-obt-2-hyb-0.2.fa,0.766666667,0.793103448,0.779661017
ibt-5-obt-2-hyb-0.fa,0.75,0.803571429,0.775862069
ibt-5-obt-2-hyb-0.02.fa,0.75,0.803571429,0.775862069
ibt-5-obt-1-hyb-0.3.fa,0.75,0.803571429,0.775862069
ibt-4-obt-1-hyb-0.4.fa,0.733333333,0.814814815,0.771929825
ibt-3-obt-1-hyb-0.4.fa,0.733333333,0.814814815,0.771929825
ibt-9-obt-2-hyb-0.2.fa,0.75,0.789473684,0.769230769
ibt-8-obt-2-hyb-0.2.fa,0.75,0.789473684,0.769230769
ibt-7-obt-2-hyb-0.2.fa,0.75,0.789473684,0.769230769
ibt-6-obt-2-hyb-0.2.fa,0.75,0.789473684,0.769230769
ibt-5-obt-3-hyb-0.fa,0.75,0.789473684,0.769230769
ibt-5-obt-3-hyb-0.1.fa,0.75,0.789473684,0.769230769
ibt-5-obt-3-hyb-0.08.fa,0.75,0.789473684,0.769230769
ibt-5-obt-3-hyb-0.06.fa,0.75,0.789473684,0.769230769
ibt-5-obt-3-hyb-0.04.fa,0.75,0.789473684,0.769230769
ibt-5-obt-3-hyb-0.02.fa,0.75,0.789473684,0.769230769
previousanswer.fa,0.783333333,0.746031746,0.764227642
ibt-5-obt-2-hyb-0.2.fa,0.733333333,0.785714286,0.75862069
ibt-4-obt-2-hyb-0.fa,0.716666667,0.796296296,0.754385965
ibt-4-obt-2-hyb-0.02.fa,0.716666667,0.796296296,0.754385965
ibt-4-obt-1-hyb-0.3.fa,0.716666667,0.796296296,0.754385965
ibt-3-obt-2-hyb-0.fa,0.716666667,0.796296296,0.754385965
ibt-3-obt-2-hyb-0.02.fa,0.716666667,0.796296296,0.754385965
ibt-3-obt-1-hyb-0.3.fa,0.716666667,0.796296296,0.754385965
ibt-4-obt-3-hyb-0.fa,0.716666667,0.781818182,0.747826087
ibt-4-obt-3-hyb-0.1.fa,0.716666667,0.781818182,0.747826087
ibt-4-obt-3-hyb-0.08.fa,0.716666667,0.781818182,0.747826087
ibt-4-obt-3-hyb-0.06.fa,0.716666667,0.781818182,0.747826087
ibt-4-obt-3-hyb-0.04.fa,0.716666667,0.781818182,0.747826087
ibt-4-obt-3-hyb-0.02.fa,0.716666667,0.781818182,0.747826087
ibt-3-obt-3-hyb-0.fa,0.716666667,0.781818182,0.747826087
ibt-3-obt-3-hyb-0.1.fa,0.716666667,0.781818182,0.747826087
ibt-3-obt-3-hyb-0.08.fa,0.716666667,0.781818182,0.747826087
ibt-3-obt-3-hyb-0.06.fa,0.716666667,0.781818182,0.747826087
ibt-3-obt-3-hyb-0.04.fa,0.716666667,0.781818182,0.747826087
ibt-3-obt-3-hyb-0.02.fa,0.716666667,0.781818182,0.747826087
ibt-10-obt-1-hyb-0.2.fa,0.716666667,0.767857143,0.74137931
ibt-4-obt-2-hyb-0.2.fa,0.7,0.777777778,0.736842105
ibt-3-obt-2-hyb-0.2.fa,0.7,0.777777778,0.736842105
ibt-9-obt-1-hyb-0.2.fa,0.7,0.763636364,0.730434783
ibt-8-obt-1-hyb-0.2.fa,0.7,0.763636364,0.730434783
ibt-7-obt-1-hyb-0.2.fa,0.7,0.763636364,0.730434783
ibt-6-obt-1-hyb-0.2.fa,0.7,0.763636364,0.730434783
ibt-5-obt-1-hyb-0.2.fa,0.683333333,0.759259259,0.719298246
ibt-10-obt-4-hyb-0.fa,0.683333333,0.745454545,0.713043478
ibt-9-obt-4-hyb-0.fa,0.666666667,0.740740741,0.701754386
ibt-8-obt-4-hyb-0.fa,0.666666667,0.740740741,0.701754386
ibt-7-obt-4-hyb-0.fa,0.666666667,0.740740741,0.701754386
ibt-4-obt-1-hyb-0.2.fa,0.65,0.75,0.696428571
ibt-3-obt-1-hyb-0.2.fa,0.65,0.75,0.696428571
ibt-9-obt-2-hyb-0.3.fa,0.65,0.735849057,0.690265487
ibt-8-obt-2-hyb-0.3.fa,0.65,0.735849057,0.690265487
ibt-7-obt-2-hyb-0.3.fa,0.65,0.735849057,0.690265487
ibt-6-obt-4-hyb-0.fa,0.65,0.735849057,0.690265487
ibt-6-obt-2-hyb-0.3.fa,0.65,0.735849057,0.690265487
ibt-5-obt-2-hyb-0.3.fa,0.65,0.735849057,0.690265487
ibt-10-obt-2-hyb-0.3.fa,0.65,0.735849057,0.690265487
ibt-10-obt-4-hyb-0.02.fa,0.65,0.722222222,0.684210526
ibt-9-obt-1-hyb-0.6.fa,0.633333333,0.730769231,0.678571429
ibt-8-obt-1-hyb-0.6.fa,0.633333333,0.730769231,0.678571429
ibt-7-obt-1-hyb-0.6.fa,0.633333333,0.730769231,0.678571429
ibt-6-obt-1-hyb-0.6.fa,0.633333333,0.730769231,0.678571429
ibt-5-obt-4-hyb-0.fa,0.633333333,0.730769231,0.678571429
ibt-5-obt-1-hyb-0.6.fa,0.633333333,0.730769231,0.678571429
ibt-10-obt-1-hyb-0.6.fa,0.633333333,0.730769231,0.678571429
ibt-2-obt-3-hyb-0.fa,0.566666667,0.829268293,0.673267327
ibt-2-obt-3-hyb-0.08.fa,0.566666667,0.829268293,0.673267327
