filepath,sensitivity,ppv,fmeasure
ibt-1-obt-1-hyb-0.02.fa,0.16666666666666666,0.5263157894736842,0.25316455696202533
ibt-1-obt-1-hyb-0.04.fa,0.16666666666666666,0.5263157894736842,0.25316455696202533
ibt-1-obt-1-hyb-0.06.fa,0.16666666666666666,0.5263157894736842,0.25316455696202533
ibt-1-obt-1-hyb-0.08.fa,0.16666666666666666,0.5263157894736842,0.25316455696202533
ibt-1-obt-1-hyb-0.1.fa,0.16666666666666666,0.5263157894736842,0.25316455696202533
ibt-1-obt-1-hyb-0.2.fa,0.3,0.6666666666666666,0.41379310344827586
ibt-1-obt-1-hyb-0.3.fa,0.36666666666666664,0.7333333333333333,0.4888888888888889
ibt-1-obt-1-hyb-0.4.fa,0.38333333333333336,0.7666666666666667,0.5111111111111111
ibt-1-obt-1-hyb-0.5.fa,0.4,0.7741935483870968,0.5274725274725275
ibt-1-obt-1-hyb-0.6.fa,0.35,0.65625,0.4565217391304347
ibt-1-obt-1-hyb-0.7.fa,0.36666666666666664,0.5789473684210527,0.44897959183673464
ibt-1-obt-1-hyb-0.8.fa,0.36666666666666664,0.55,0.43999999999999995
ibt-1-obt-1-hyb-0.9.fa,0.36666666666666664,0.55,0.43999999999999995
ibt-1-obt-1-hyb-0.fa,0.16666666666666666,0.5263157894736842,0.25316455696202533
ibt-1-obt-1-hyb-1.fa,0.36666666666666664,0.55,0.43999999999999995
ibt-1-obt-10-hyb-0.02.fa,0.3,0.4090909090909091,0.34615384615384615
ibt-1-obt-10-hyb-0.04.fa,0.3,0.4,0.34285714285714286
ibt-1-obt-10-hyb-0.06.fa,0.3,0.391304347826087,0.33962264150943394
ibt-1-obt-10-hyb-0.08.fa,0.3,0.391304347826087,0.33962264150943394
ibt-1-obt-10-hyb-0.1.fa,0.3,0.3673469387755102,0.3302752293577982
ibt-1-obt-10-hyb-0.2.fa,0.3,0.33962264150943394,0.3185840707964602
ibt-1-obt-10-hyb-0.3.fa,0.3,0.32142857142857145,0.3103448275862069
ibt-1-obt-10-hyb-0.4.fa,0.3,0.3157894736842105,0.3076923076923077
ibt-1-obt-10-hyb-0.5.fa,0.3,0.3157894736842105,0.3076923076923077
ibt-1-obt-10-hyb-0.6.fa,0.3,0.3157894736842105,0.3076923076923077
ibt-1-obt-10-hyb-0.7.fa,0.3,0.3157894736842105,0.3076923076923077
ibt-1-obt-10-hyb-0.8.fa,0.3,0.3157894736842105,0.3076923076923077
ibt-1-obt-10-hyb-0.9.fa,0.3,0.3157894736842105,0.3076923076923077
ibt-1-obt-10-hyb-0.fa,0.3,0.4090909090909091,0.34615384615384615
ibt-1-obt-10-hyb-1.fa,0.3,0.3157894736842105,0.3076923076923077
ibt-1-obt-2-hyb-0.02.fa,0.36666666666666664,0.7333333333333333,0.4888888888888889
ibt-1-obt-2-hyb-0.04.fa,0.4,0.7741935483870968,0.5274725274725275
ibt-1-obt-2-hyb-0.06.fa,0.4,0.7741935483870968,0.5274725274725275
ibt-1-obt-2-hyb-0.08.fa,0.4,0.7741935483870968,0.5274725274725275
ibt-1-obt-2-hyb-0.1.fa,0.4,0.7741935483870968,0.5274725274725275
ibt-1-obt-2-hyb-0.2.fa,0.38333333333333336,0.71875,0.5
ibt-1-obt-2-hyb-0.3.fa,0.36666666666666664,0.6666666666666666,0.47311827956989244
ibt-1-obt-2-hyb-0.4.fa,0.36666666666666664,0.5641025641025641,0.4444444444444444
ibt-1-obt-2-hyb-0.5.fa,0.35,0.525,0.42
ibt-1-obt-2-hyb-0.6.fa,0.35,0.5,0.4117647058823529
ibt-1-obt-2-hyb-0.7.fa,0.35,0.4883720930232558,0.4077669902912621
ibt-1-obt-2-hyb-0.8.fa,0.31666666666666665,0.4222222222222222,0.36190476190476184
ibt-1-obt-2-hyb-0.9.fa,0.31666666666666665,0.40425531914893614,0.35514018691588783
ibt-1-obt-2-hyb-0.fa,0.36666666666666664,0.7333333333333333,0.4888888888888889
ibt-1-obt-2-hyb-1.fa,0.3,0.391304347826087,0.33962264150943394
ibt-1-obt-3-hyb-0.02.fa,0.4,0.7272727272727273,0.5161290322580645
ibt-1-obt-3-hyb-0.04.fa,0.4,0.7272727272727273,0.5161290322580645
