16,4,0.866666667,0.838709677,0.852459016
8,4,0.833333333,0.833333333,0.833333333
4,4,0.75,0.789473684,0.769230769
2,4,0.533333333,0.780487805,0.633663366
32,4,0.633333333,0.633333333,0.633333333
512,4,0.7,0.53164557,0.604316547
128,4,0.666666667,0.519480519,0.583941606
1024,4,0.7,0.5,0.583333333
64,4,0.633333333,0.527777778,0.575757576
256,4,0.65,0.5,0.565217391
0.5,4,0.366666667,0.956521739,0.530120482
0.25,4,0.35,1,0.518518519
1,4,0.4,0.727272727,0.516129032
0.125,4,0.316666667,0.904761905,0.469135802
0.03125,4,0.266666667,0.695652174,0.385542169
0.0625,4,0.266666667,0.695652174,0.385542169
