gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
3.5,5,0.04,0.753623188,0.776119403,0.764705882
4,5,0.05,0.753623188,0.776119403,0.764705882
4,5,0.04,0.753623188,0.776119403,0.764705882
4.5,4,0.04,0.753623188,0.776119403,0.764705882
4.5,4.5,0.04,0.753623188,0.776119403,0.764705882
4.5,4.5,0.05,0.753623188,0.776119403,0.764705882
5,4,0.04,0.753623188,0.776119403,0.764705882
5,4,0.05,0.753623188,0.776119403,0.764705882
5,4.5,0.05,0.753623188,0.776119403,0.764705882
6,4,0.05,0.753623188,0.776119403,0.764705882
6,4.5,0.04,0.753623188,0.776119403,0.764705882
7,4,0.04,0.753623188,0.776119403,0.764705882
7,4.5,0.04,0.753623188,0.776119403,0.764705882
8,4,0.04,0.753623188,0.776119403,0.764705882
8,4.5,0.02,0.753623188,0.776119403,0.764705882
20,2.5,0.02,0.797101449,0.733333333,0.763888889
20,3,0.02,0.797101449,0.733333333,0.763888889
2.5,2.5,0.01,0.724637681,0.806451613,0.763358779
2.5,2.5,0.02,0.724637681,0.806451613,0.763358779
2.5,2.5,0.04,0.724637681,0.806451613,0.763358779
2.5,2.5,0.05,0.724637681,0.806451613,0.763358779
2.5,2.5,0.2,0.724637681,0.806451613,0.763358779
2.5,3,0.04,0.724637681,0.806451613,0.763358779
2.5,3,0.01,0.724637681,0.806451613,0.763358779
2.5,3,0.05,0.724637681,0.806451613,0.763358779
2.5,3,0.02,0.724637681,0.806451613,0.763358779
2.5,3,0.166,0.724637681,0.806451613,0.763358779
2.5,3.5,0.01,0.724637681,0.806451613,0.763358779
2.5,3.5,0.02,0.724637681,0.806451613,0.763358779
2.5,3.5,0.04,0.724637681,0.806451613,0.763358779
3,20,0.01,0.768115942,0.757142857,0.762589928
3.5,10,0.02,0.768115942,0.757142857,0.762589928
4,6,0.05,0.768115942,0.757142857,0.762589928
4,10,0.02,0.768115942,0.757142857,0.762589928
2.5,4,0.075,0.739130435,0.784615385,0.76119403
2.5,4.5,0.05,0.739130435,0.784615385,0.76119403
2.5,4.5,0.075,0.739130435,0.784615385,0.76119403
4.5,2.5,0.133,0.739130435,0.784615385,0.76119403
4.5,2.5,0.04,0.739130435,0.784615385,0.76119403
4.5,3,0.04,0.739130435,0.784615385,0.76119403
4.5,3,0.1,0.739130435,0.784615385,0.76119403
