filepath,sensitivity,ppv,fmeasure
ibt-8-obt-0.5-hyb-0.02.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-0.5-hyb-0.04.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-0.5-hyb-0.06.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-0.5-hyb-0.08.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-0.5-hyb-0.1.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-0.5-hyb-0.2.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-0.5-hyb-0.3.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-0.5-hyb-0.4.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-0.5-hyb-0.5.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-0.5-hyb-0.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-1-hyb-0.02.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-1-hyb-0.04.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-1-hyb-0.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-2-hyb-0.06.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-2-hyb-0.08.fa,0.550724638,0.775510204,0.644067797
ibt-8-obt-2-hyb-0.1.fa,0.550724638,0.775510204,0.644067797
ibt-1-obt-2-hyb-0.2.fa,0.52173913,0.837209302,0.642857143
ibt-2-obt-1-hyb-0.08.fa,0.52173913,0.837209302,0.642857143
ibt-2-obt-1-hyb-0.1.fa,0.52173913,0.837209302,0.642857143
ibt-5-obt-0.5-hyb-0.02.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-0.5-hyb-0.04.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-0.5-hyb-0.06.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-0.5-hyb-0.08.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-0.5-hyb-0.1.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-0.5-hyb-0.2.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-0.5-hyb-0.3.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-0.5-hyb-0.4.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-0.5-hyb-0.5.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-0.5-hyb-0.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-1-hyb-0.02.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-1-hyb-0.04.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-1-hyb-0.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-2-hyb-0.06.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-2-hyb-0.08.fa,0.536231884,0.787234043,0.637931034
ibt-5-obt-2-hyb-0.1.fa,0.536231884,0.787234043,0.637931034
ibt-6-obt-0.5-hyb-0.02.fa,0.536231884,0.787234043,0.637931034
ibt-6-obt-0.5-hyb-0.04.fa,0.536231884,0.787234043,0.637931034
ibt-6-obt-0.5-hyb-0.06.fa,0.536231884,0.787234043,0.637931034
ibt-6-obt-0.5-hyb-0.08.fa,0.536231884,0.787234043,0.637931034
ibt-6-obt-0.5-hyb-0.1.fa,0.536231884,0.787234043,0.637931034
ibt-6-obt-0.5-hyb-0.2.fa,0.536231884,0.787234043,0.637931034
