filepath,sensitivity,ppv,fmeasure
ibt-10-obt-4-hyb-0.04.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-4-hyb-0.06.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-4-hyb-0.08.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-4-hyb-0.1.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-4-hyb-0.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.02.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.04.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.06.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.08.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.1.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.2.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-6-hyb-0.02.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-6-hyb-0.04.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-6-hyb-0.06.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-6-hyb-0.08.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-6-hyb-0.1.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-6-hyb-0.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-7-hyb-0.02.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-7-hyb-0.04.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-7-hyb-0.06.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-7-hyb-0.08.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-7-hyb-0.1.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-7-hyb-0.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-8-hyb-0.02.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-8-hyb-0.04.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-8-hyb-0.06.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-8-hyb-0.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-9-hyb-0.02.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-9-hyb-0.fa,0.627906977,0.870967742,0.72972973
ibt-8-obt-3-hyb-0.02.fa,0.604651163,0.896551724,0.722222222
ibt-8-obt-3-hyb-0.04.fa,0.604651163,0.896551724,0.722222222
ibt-8-obt-3-hyb-0.06.fa,0.604651163,0.896551724,0.722222222
ibt-8-obt-3-hyb-0.08.fa,0.604651163,0.896551724,0.722222222
ibt-8-obt-3-hyb-0.1.fa,0.604651163,0.896551724,0.722222222
ibt-8-obt-3-hyb-0.fa,0.604651163,0.896551724,0.722222222
ibt-8-obt-4-hyb-0.2.fa,0.604651163,0.896551724,0.722222222
ibt-9-obt-3-hyb-0.02.fa,0.604651163,0.896551724,0.722222222
ibt-9-obt-3-hyb-0.04.fa,0.604651163,0.896551724,0.722222222
ibt-9-obt-3-hyb-0.06.fa,0.604651163,0.896551724,0.722222222
ibt-9-obt-3-hyb-0.08.fa,0.604651163,0.896551724,0.722222222
ibt-9-obt-3-hyb-0.1.fa,0.604651163,0.896551724,0.722222222
ibt-9-obt-3-hyb-0.fa,0.604651163,0.896551724,0.722222222
ibt-9-obt-4-hyb-0.2.fa,0.604651163,0.896551724,0.722222222
ibt-10-obt-4-hyb-0.3.fa,0.627906977,0.84375,0.72
ibt-10-obt-1-hyb-0.04.fa,0.581395349,0.925925926,0.714285714
ibt-10-obt-1-hyb-0.06.fa,0.581395349,0.925925926,0.714285714
ibt-10-obt-1-hyb-0.08.fa,0.581395349,0.925925926,0.714285714
ibt-10-obt-1-hyb-0.1.fa,0.581395349,0.925925926,0.714285714
ibt-8-obt-0.5-hyb-0.5.fa,0.581395349,0.925925926,0.714285714
ibt-8-obt-0.5-hyb-0.6.fa,0.581395349,0.925925926,0.714285714
ibt-8-obt-1-hyb-0.2.fa,0.581395349,0.925925926,0.714285714
ibt-9-obt-0.5-hyb-0.5.fa,0.581395349,0.925925926,0.714285714
ibt-9-obt-0.5-hyb-0.6.fa,0.581395349,0.925925926,0.714285714
ibt-9-obt-1-hyb-0.2.fa,0.581395349,0.925925926,0.714285714
ibt-8-obt-0.5-hyb-1.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-1-hyb-0.7.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-2-hyb-0.5.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-4-hyb-0.02.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-4-hyb-0.04.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-4-hyb-0.06.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-4-hyb-0.08.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-4-hyb-0.1.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-4-hyb-0.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-5-hyb-0.02.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-5-hyb-0.04.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-5-hyb-0.06.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-5-hyb-0.08.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-5-hyb-0.1.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-5-hyb-0.2.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-5-hyb-0.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-6-hyb-0.02.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-6-hyb-0.04.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-6-hyb-0.06.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-6-hyb-0.08.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-6-hyb-0.1.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-6-hyb-0.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-7-hyb-0.02.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-7-hyb-0.04.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-7-hyb-0.06.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-7-hyb-0.08.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-7-hyb-0.1.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-7-hyb-0.fa,0.604651163,0.866666667,0.712328767
ibt-8-obt-8-hyb-0.02.fa,0.604651163,0.866666667,0.712328767
