gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
10,3.5,0.1,0.627906977,0.870967742,0.72972973
10,3.5,0.075,0.627906977,0.870967742,0.72972973
10,3.5,0.05,0.627906977,0.870967742,0.72972973
10,3.5,0.02,0.627906977,0.870967742,0.72972973
10,3.5,0.2,0.627906977,0.870967742,0.72972973
10,3.5,0.233,0.627906977,0.870967742,0.72972973
10,3.5,0.133,0.627906977,0.870967742,0.72972973
10,3.5,0.266,0.627906977,0.870967742,0.72972973
10,3.5,0.166,0.627906977,0.870967742,0.72972973
10,3.5,0.3,0.627906977,0.870967742,0.72972973
10,3.5,0.35,0.627906977,0.870967742,0.72972973
10,3.5,0.4,0.627906977,0.870967742,0.72972973
10,3.5,0.45,0.627906977,0.870967742,0.72972973
10,3.5,0.6,0.627906977,0.870967742,0.72972973
10,3.5,0.75,0.627906977,0.870967742,0.72972973
10,3.5,0.5,0.627906977,0.870967742,0.72972973
10,3.5,1,0.627906977,0.870967742,0.72972973
10,3.5,5,0.627906977,0.870967742,0.72972973
10,3.5,2,0.627906977,0.870967742,0.72972973
10,4,0.02,0.627906977,0.870967742,0.72972973
10,4,0.04,0.627906977,0.870967742,0.72972973
10,4,0.05,0.627906977,0.870967742,0.72972973
10,4,0.01,0.627906977,0.870967742,0.72972973
10,4,0.166,0.627906977,0.870967742,0.72972973
10,4,0.133,0.627906977,0.870967742,0.72972973
10,4,0.1,0.627906977,0.870967742,0.72972973
10,4,0.075,0.627906977,0.870967742,0.72972973
10,4,0.2,0.627906977,0.870967742,0.72972973
10,4,0.233,0.627906977,0.870967742,0.72972973
10,4,0.3,0.627906977,0.870967742,0.72972973
10,4,0.266,0.627906977,0.870967742,0.72972973
10,4,0.4,0.627906977,0.870967742,0.72972973
10,4,0.35,0.627906977,0.870967742,0.72972973
10,4,0.45,0.627906977,0.870967742,0.72972973
10,4,0.6,0.627906977,0.870967742,0.72972973
10,4,0.5,0.627906977,0.870967742,0.72972973
10,4,0.75,0.627906977,0.870967742,0.72972973
10,4,1,0.627906977,0.870967742,0.72972973
10,4,2,0.627906977,0.870967742,0.72972973
10,4,5,0.627906977,0.870967742,0.72972973
10,4.5,0.01,0.627906977,0.870967742,0.72972973
10,4.5,0.02,0.627906977,0.870967742,0.72972973
10,4.5,0.05,0.627906977,0.870967742,0.72972973
10,4.5,0.04,0.627906977,0.870967742,0.72972973
10,4.5,0.075,0.627906977,0.870967742,0.72972973
10,4.5,0.1,0.627906977,0.870967742,0.72972973
10,4.5,0.133,0.627906977,0.870967742,0.72972973
10,4.5,0.166,0.627906977,0.870967742,0.72972973
10,4.5,0.2,0.627906977,0.870967742,0.72972973
10,4.5,0.233,0.627906977,0.870967742,0.72972973
10,4.5,0.266,0.627906977,0.870967742,0.72972973
10,4.5,0.4,0.627906977,0.870967742,0.72972973
10,4.5,0.35,0.627906977,0.870967742,0.72972973
10,4.5,0.3,0.627906977,0.870967742,0.72972973
10,4.5,0.45,0.627906977,0.870967742,0.72972973
10,4.5,0.5,0.627906977,0.870967742,0.72972973
10,4.5,0.6,0.627906977,0.870967742,0.72972973
10,4.5,1,0.627906977,0.870967742,0.72972973
10,4.5,0.75,0.627906977,0.870967742,0.72972973
10,4.5,2,0.627906977,0.870967742,0.72972973
10,4.5,5,0.627906977,0.870967742,0.72972973
10,5,0.01,0.627906977,0.870967742,0.72972973
10,5,0.02,0.627906977,0.870967742,0.72972973
10,5,0.04,0.627906977,0.870967742,0.72972973
10,5,0.075,0.627906977,0.870967742,0.72972973
10,5,0.05,0.627906977,0.870967742,0.72972973
10,5,0.1,0.627906977,0.870967742,0.72972973
10,5,0.133,0.627906977,0.870967742,0.72972973
10,5,0.166,0.627906977,0.870967742,0.72972973
10,5,0.2,0.627906977,0.870967742,0.72972973
10,5,0.233,0.627906977,0.870967742,0.72972973
10,5,0.266,0.627906977,0.870967742,0.72972973
10,5,0.3,0.627906977,0.870967742,0.72972973
10,5,0.35,0.627906977,0.870967742,0.72972973
10,5,0.4,0.627906977,0.870967742,0.72972973
10,5,0.45,0.627906977,0.870967742,0.72972973
10,5,0.5,0.627906977,0.870967742,0.72972973
10,5,0.6,0.627906977,0.870967742,0.72972973
10,5,0.75,0.627906977,0.870967742,0.72972973
10,5,1,0.627906977,0.870967742,0.72972973
10,5,2,0.627906977,0.870967742,0.72972973
10,5,5,0.627906977,0.870967742,0.72972973
10,6,0.01,0.627906977,0.870967742,0.72972973
10,6,0.02,0.627906977,0.870967742,0.72972973
10,6,0.04,0.627906977,0.870967742,0.72972973
10,6,0.05,0.627906977,0.870967742,0.72972973
10,6,0.1,0.627906977,0.870967742,0.72972973
10,6,0.075,0.627906977,0.870967742,0.72972973
10,6,0.133,0.627906977,0.870967742,0.72972973
10,6,0.166,0.627906977,0.870967742,0.72972973
10,6,0.2,0.627906977,0.870967742,0.72972973
10,6,0.233,0.627906977,0.870967742,0.72972973
10,6,0.266,0.627906977,0.870967742,0.72972973
10,6,0.3,0.627906977,0.870967742,0.72972973
10,6,0.35,0.627906977,0.870967742,0.72972973
10,6,0.4,0.627906977,0.870967742,0.72972973
10,6,0.45,0.627906977,0.870967742,0.72972973
10,6,0.5,0.627906977,0.870967742,0.72972973
