gamma_s,gamma_h,sensitivity,ppv,fmeasure
16,32,0.348837209,0.357142857,0.352941176
16,64,0.302325581,0.265306122,0.282608696
16,128,0.302325581,0.228070175,0.26
16,256,0.302325581,0.209677419,0.247619048
16,512,0.302325581,0.203125,0.242990654
16,1024,0.302325581,0.203125,0.242990654
32,0.03125,0.465116279,0.606060606,0.526315789
32,0.0625,0.465116279,0.606060606,0.526315789
32,0.125,0.465116279,0.606060606,0.526315789
32,0.25,0.465116279,0.606060606,0.526315789
32,0.5,0.465116279,0.606060606,0.526315789
32,1,0.651162791,0.777777778,0.708860759
32,2,0.697674419,0.789473684,0.740740741
32,4,0.674418605,0.725,0.698795181
32,8,0.674418605,0.725,0.698795181
32,16,0.581395349,0.581395349,0.581395349
32,32,0.395348837,0.386363636,0.390804598
32,64,0.325581395,0.274509804,0.29787234
32,128,0.302325581,0.228070175,0.26
32,256,0.302325581,0.209677419,0.247619048
32,512,0.302325581,0.203125,0.242990654
32,1024,0.302325581,0.203125,0.242990654
64,0.03125,0.558139535,0.533333333,0.545454545
64,0.0625,0.558139535,0.533333333,0.545454545
64,0.125,0.558139535,0.533333333,0.545454545
64,0.25,0.558139535,0.533333333,0.545454545
64,0.5,0.558139535,0.533333333,0.545454545
64,1,0.744186047,0.711111111,0.727272727
64,2,0.790697674,0.723404255,0.755555556
64,4,0.76744186,0.717391304,0.741573034
64,8,0.76744186,0.717391304,0.741573034
64,16,0.674418605,0.604166667,0.637362637
64,32,0.488372093,0.428571429,0.456521739
64,64,0.418604651,0.327272727,0.367346939
64,128,0.348837209,0.254237288,0.294117647
64,256,0.348837209,0.234375,0.280373832
64,512,0.302325581,0.203125,0.242990654
64,1024,0.302325581,0.203125,0.242990654
128,0.03125,0.604651163,0.509803922,0.553191489
128,0.0625,0.604651163,0.509803922,0.553191489
128,0.125,0.604651163,0.509803922,0.553191489
128,0.25,0.604651163,0.509803922,0.553191489
128,0.5,0.604651163,0.509803922,0.553191489
128,1,0.790697674,0.653846154,0.715789474
128,2,0.837209302,0.692307692,0.757894737
128,4,0.813953488,0.68627451,0.744680851
128,8,0.813953488,0.68627451,0.744680851
128,16,0.720930233,0.62,0.666666667
128,32,0.534883721,0.433962264,0.479166667
128,64,0.465116279,0.338983051,0.392156863
128,128,0.348837209,0.254237288,0.294117647
128,256,0.348837209,0.234375,0.280373832
128,512,0.302325581,0.203125,0.242990654
128,1024,0.302325581,0.203125,0.242990654
256,0.03125,0.604651163,0.481481481,0.536082474
256,0.0625,0.604651163,0.481481481,0.536082474
256,0.125,0.604651163,0.481481481,0.536082474
256,0.25,0.604651163,0.481481481,0.536082474
256,0.5,0.604651163,0.481481481,0.536082474
256,1,0.790697674,0.618181818,0.693877551
256,2,0.837209302,0.654545455,0.734693878
256,4,0.813953488,0.648148148,0.721649485
256,8,0.813953488,0.648148148,0.721649485
256,16,0.720930233,0.596153846,0.652631579
256,32,0.581395349,0.438596491,0.5
256,64,0.465116279,0.327868852,0.384615385
256,128,0.348837209,0.254237288,0.294117647
256,256,0.348837209,0.234375,0.280373832
256,512,0.302325581,0.203125,0.242990654
256,1024,0.302325581,0.203125,0.242990654
512,0.03125,0.627906977,0.482142857,0.545454545
512,0.0625,0.627906977,0.482142857,0.545454545
512,0.125,0.627906977,0.482142857,0.545454545
512,0.25,0.627906977,0.482142857,0.545454545
512,0.5,0.627906977,0.482142857,0.545454545
512,1,0.813953488,0.614035088,0.7
512,2,0.860465116,0.616666667,0.718446602
512,4,0.837209302,0.610169492,0.705882353
512,8,0.837209302,0.610169492,0.705882353
512,16,0.813953488,0.603448276,0.693069307
512,32,0.651162791,0.444444444,0.528301887
512,64,0.465116279,0.327868852,0.384615385
512,128,0.441860465,0.292307692,0.351851852
512,256,0.441860465,0.279411765,0.342342342
512,512,0.395348837,0.25,0.306306306
512,1024,0,NaN,NaN
1024,0.03125,0.651162791,0.482758621,0.554455446
1024,0.0625,0.651162791,0.482758621,0.554455446
1024,0.125,0.651162791,0.482758621,0.554455446
1024,0.25,0.651162791,0.482758621,0.554455446
1024,0.5,0.651162791,0.482758621,0.554455446
1024,1,0.837209302,0.610169492,0.705882353
1024,2,0.906976744,0.6,0.722222222
1024,4,0.88372093,0.59375,0.710280374
1024,8,0.88372093,0.59375,0.710280374
1024,16,0.790697674,0.566666667,0.660194175
1024,32,0.651162791,0.444444444,0.528301887
1024,64,0.465116279,0.327868852,0.384615385
1024,128,0.488372093,0.313432836,0.381818182
1024,256,0.488372093,0.291666667,0.365217391
1024,512,0.488372093,0.291666667,0.365217391
1024,1024,0.488372093,0.291666667,0.365217391
