gamma_s,gamma_h,sensitivity,ppv,fmeasure
4,512,0.246376812,0.293103448,0.267716535
4,1024,0.246376812,0.293103448,0.267716535
8,0.03125,0.550724638,0.775510204,0.644067797
8,0.0625,0.550724638,0.775510204,0.644067797
8,0.125,0.550724638,0.775510204,0.644067797
8,0.25,0.550724638,0.775510204,0.644067797
8,0.5,0.550724638,0.775510204,0.644067797
8,1,0.550724638,0.775510204,0.644067797
8,2,0.594202899,0.803921569,0.683333333
8,4,0.623188406,0.754385965,0.682539683
8,8,0.536231884,0.569230769,0.552238806
8,16,0.463768116,0.492307692,0.47761194
8,32,0.463768116,0.47761194,0.470588235
8,64,0.304347826,0.344262295,0.323076923
8,128,0.304347826,0.344262295,0.323076923
8,256,0.260869565,0.305084746,0.28125
8,512,0.260869565,0.3,0.279069767
8,1024,0.260869565,0.3,0.279069767
16,0.03125,0.637681159,0.709677419,0.671755725
16,0.0625,0.637681159,0.709677419,0.671755725
16,0.125,0.637681159,0.709677419,0.671755725
16,0.25,0.637681159,0.709677419,0.671755725
16,0.5,0.637681159,0.709677419,0.671755725
16,1,0.637681159,0.709677419,0.671755725
16,2,0.695652174,0.75,0.721804511
16,4,0.608695652,0.636363636,0.622222222
16,8,0.47826087,0.492537313,0.485294118
16,16,0.47826087,0.47826087,0.47826087
16,32,0.362318841,0.373134328,0.367647059
16,64,0.31884058,0.338461538,0.328358209
16,128,0.275362319,0.31147541,0.292307692
16,256,0.275362319,0.301587302,0.287878788
16,512,0.275362319,0.296875,0.285714286
16,1024,0.275362319,0.296875,0.285714286
32,0.03125,0.666666667,0.666666667,0.666666667
32,0.0625,0.666666667,0.666666667,0.666666667
32,0.125,0.666666667,0.666666667,0.666666667
32,0.25,0.666666667,0.666666667,0.666666667
32,0.5,0.666666667,0.666666667,0.666666667
32,1,0.666666667,0.666666667,0.666666667
32,2,0.652173913,0.661764706,0.656934307
32,4,0.579710145,0.606060606,0.592592593
32,8,0.47826087,0.492537313,0.485294118
32,16,0.31884058,0.349206349,0.333333333
32,32,0.333333333,0.343283582,0.338235294
32,64,0.289855072,0.3125,0.30075188
32,128,0.289855072,0.3125,0.30075188
32,256,0.289855072,0.303030303,0.296296296
